Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Редько,Феофан,Володимирович,Чоловіча,14.02.1942,Петрограф,хутір Залізне,"парк Просьолочна, буд. 9 кв. 07, Буськ, 32549",325-81-95,leonid12@example.org
Дзюба,Марʼяна,Миколаївна,Жіноча,13.09.1971,Мінералог,село Канів,"набережна Красних Зорь, буд. 6 кв. 4, Херсон, 68230",022 598 54 86,viacheslavbevz@example.net
Дуплій,Гліб,Єгорович,Чоловіча,09.02.2002,Кінорежисер,місто Сєвєродонецьк,"площа Удільний, буд. 3 кв. 4, Фастів, 76963",967 45 13,vivcharenkoparmen@example.com
Рубан,Олег,Іванович,Чоловіча,25.07.1973,Фармацевт,село Умань,"шосе Український 3-й, буд. 374, Вашківці, 39527",076 376-99-93,shynkarenkoonysym@example.com
Штепа,Хома,Олександрович,Чоловіча,18.12.1977,Гірник,хутір Вашківці,"проспект Південна, буд. 13 кв. 147, Лохвиця, 32165",035 460-88-46,iarynabaturynets@example.com
Худяк,Ада,Сергіївна,Жіноча,14.12.1985,Співак,село Знам'янка,"узвіз Карпатська, буд. 029 кв. 307, Косів, 34778",+380 (04) 574-89-72,xkolesnychenko@example.net
Носенко,Альберт,Петрович,Чоловіча,07.12.1986,Громадський діяч,селище Звенигородка,"узвіз Орликова, буд. 6, Лутугине, 42561",052-92-39,varvaratsymbaliuk@example.net
Фастенко,Сергій,Петрович,Чоловіча,06.03.1971,Секретар,селище Буча,"проспект Героїв Крут, буд. 2, Алмазна, 78644",+380 74 320-78-56,kopytkosemen@example.com
Стельмах,Устим,Сергійович,Чоловіча,02.02.1968,Драматург,село Радехів,"узвіз Церковна, буд. 9, Новогродівка, 99991",440-46-47,martynvanchenko@example.net
Фурс,Марко,Петрович,Чоловіча,21.01.1947,Мірошник,селище Решетилівка,"узвіз Сирітський, буд. 81, Миргород, 34885",088 295 27 23,havrylivhennadii@example.com
Твердохліб,Борислав,Сергійович,Чоловіча,24.05.1978,Мистецтвознавець,місто Корюківка,"вулиця Абрикосова, буд. 5, Вишгород, 97041",436-77-89,mtsybulenko@example.com
Носаченко,Зорян,Володимирович,Чоловіча,01.04.1966,Професор,місто Овруч,"узвіз Задніпровського, буд. 1 кв. 67, Корець, 59338",+380 (44) 921-01-02,hennadiiiurchenko@example.com
Саченко,Ольга,Єгорівна,Жіноча,29.09.1972,Антрополог,селище Броди,"узвіз Декабристів, буд. 7, Хирів, 01140",+380 96 958-32-27,kostiantynpavlychenko@example.net
Гаврюшенко,Юстина,Миколаївна,Жіноча,25.06.1953,Промисловець,місто Тиврів,"вулиця Івана Вазова, буд. 43, Білицьке, 46630",179 70 16,dannacherednyk@example.com
Терещенко,Владислав,Єгорович,Чоловіча,08.02.1965,Євнух,село Першотравенськ,"набережна Фруктовий, буд. 30 кв. 818, Горішні Плавні, 18652",+380 01 172 56 61,lizhakevych@example.org
Аврамчук,Едуард,Петрович,Чоловіча,20.12.1961,Складальник,село Мала Виска,"сквер Вишневий, буд. 8, Судова Вишня, 26222",+380 92 356-19-66,albert15@example.net
Слюсар,Мартин,Андрійович,Чоловіча,12.08.1972,Няня,місто Ніжин,"проспект Садова 5-та, буд. 41 кв. 6, Дрогобич, 66099",+380 (65) 299-81-70,orestvelychko@example.com
Онищенко,Устим,Єгорович,Чоловіча,06.07.1954,Журналіст,місто Малин,"проспект Флотська, буд. 0 кв. 9, Хоростків, 03377",391-91-82,zynovii26@example.org
Литвин,Геннадій,Михайлович,Чоловіча,02.07.1953,Флорист,селище Жашків,"узвіз Пересипська 8-ма, буд. 72, Українка , 21370",+380 34 391 01 94,isaienkovira@example.org
Демиденко,Варфоломій,Олександрович,Чоловіча,15.03.1997,Кінокритик,місто Кам'янське,"набережна Гагарінське плато, буд. 60, Нова Одеса, 58240",+380 84 850-99-59,okseniiaatroshchenko@example.com
Голобородько,Єфрем,Андрійович,Чоловіча,06.08.1968,Гірничий інженер,село Ровеньки,"вулиця Промисловий, буд. 182 кв. 5, Стрий, 67494",+380 (43) 033-04-99,omelian41@example.net
Євдокименко,Павло,Михайлович,Чоловіча,14.08.1949,Прокурор,місто Білопілля,"парк Дунаєва, буд. 7 кв. 59, Кіцмань, 03907",+380 45 537 53 07,oryna72@example.net
Габелко,Данна,Миколаївна,Жіноча,07.07.1940,Соціолог,село Мелітополь,"сквер Тепличний 1-й, буд. 2, Федорівка, 76958",+380 41 207 88 02,myroslavtymchuk@example.net
Швачка,Болеслав,Миколайович,Чоловіча,12.05.1980,Дантист,селище Калинівка ,"шосе 2-й Академічний тупик, буд. 0 кв. 844, Погребище, 08562",286-14-00,abrahamovskyivitalii@example.com
Демʼянюк,Семен,Михайлович,Чоловіча,07.06.1939,Кухар,місто Вуглегірськ,"набережна Семафорний, буд. 0 кв. 70, Болехів, 02243",+380 27 490-96-35,csymonenko@example.net
Цісик,Онисим,Михайлович,Чоловіча,19.07.1988,Ботанік,селище Севастополь,"проспект Мигдальна, буд. 6, Бобровиця, 67733",+380 37 305-90-65,lmazepa@example.net
Цюцюра,Прохір,Петрович,Чоловіча,05.10.1953,Каскадер,місто Первомайський ,"шосе Килимовий, буд. 515, Баштанка, 09671",+380 32 816-08-38,okhrim83@example.com
Примаченко,Сніжана,Єгорівна,Жіноча,16.03.1965,Стоматолог,село Зугрес,"сквер Пересипський узвіз, буд. 8, Скалат, 83685",086 421-75-39,makarartiukh@example.net
Гаврилишин,Тереза,Володимирівна,Жіноча,31.07.1968,Піаніст,місто Великі Мости,"набережна Педагогічна, буд. 953, Енергодар, 46972",097 069 23 40,bohuslavapetliura@example.net
Бандера,Геннадій,Андрійович,Чоловіча,13.08.1972,Паралегал,місто Шепетівка,"узвіз Леонтовича, буд. 4 кв. 8, Городенка, 79865",+380 87 295-42-40,opanas01@example.com
Нестеренко,Максим,Іванович,Чоловіча,01.04.1999,Секретар,селище Винники,"набережна Академіка Сахарова, буд. 90 кв. 20, Чернігів, 53074",052 805 69 46,danpryimak@example.net
Данилюк,Мілена,Єгорівна,Жіноча,15.12.1962,Кур'єр,село Теребовля,"шосе 5-та Суворовська, буд. 739, Белз, 89836",+380 (50) 044-36-22,kanivetsdaryna@example.com
Дейнеко,Едита,Михайлівна,Жіноча,23.10.1973,Єгер,селище Чернігів,"провулок Уманська, буд. 4, Обухів, 87031",+380 74 108 99 84,artiukhvira@example.net
Литвиненко,Артем,Михайлович,Чоловіча,08.09.1942,Стиліст,село Бережани,"шосе В’ячеслава Чорновола, буд. 990, Лутугине, 94778",410 01 59,adamvernydub@example.net
Фесенко,Костянтин,Володимирович,Чоловіча,22.11.1956,Промисловець,село Білицьке,"набережна Кривобалківська, буд. 67, Надвірна, 70318",059 369 41 77,havrylivtaras@example.net
Кальченко,Йосип,Петрович,Чоловіча,18.01.1984,Мистецтвознавець,хутір Снятин,"площа Юхима Геллера, буд. 55, Бучач, 40999",079-40-20,ruslan37@example.net
Фоменко,Амвросій,Михайлович,Чоловіча,20.04.1992,Живописець,село Новоград-Волинський,"набережна Авангардна, буд. 426 кв. 069, Світлодарськ, 22973",+380 37 082-12-98,erikabalaban@example.org
Демʼянюк,Семен,Михайлович,Чоловіча,27.02.1964,Різноробочий,хутір Красноперекопськ,"вулиця Басейний 3-й, буд. 4 кв. 384, Бунге , 13315",+380 07 883 55 46,zaikaleopold@example.com
Ґерус,Климент,Сергійович,Чоловіча,14.06.1981,Мовознавець,хутір Лубни,"набережна Обільний 2-й, буд. 69, Новодністровськ, 48705",018 053 53 86,huknazar@example.org
Царенко,Веніямин,Дмитрович,Чоловіча,07.03.2004,Психолог,село Кальміуське,"шосе Кропивницького, буд. 9, Мелітополь, 25878",076 084 70 17,davydtalan@example.com
Смик,Ілля,Сергійович,Чоловіча,21.02.1998,Модель,селище Богуслав,"провулок Сергія Ейзенштейна, буд. 4 кв. 267, Дрогобич, 63671",000 705-08-38,nestorpavlyk@example.net
Гайденко,Варфоломій,Михайлович,Чоловіча,11.03.1965,Менеджер,селище Кадіївка,"провулок Різдвяна, буд. 60 кв. 52, Харцизьк, 21110",+380 (17) 190-74-06,gvlasenko@example.net
Данильчук,Мартин,Іванович,Чоловіча,19.10.1947,Краєзнавець,село Золочів,"провулок Педагогічний, буд. 4, Угнів, 19043",+380 41 423-52-04,zhukmakar@example.net
Верхола,Климент,Сергійович,Чоловіча,25.11.2001,Золотар,хутір Золотоноша,"шосе Миколи Огренича, буд. 97 кв. 93, Білопілля, 50880",+380 (62) 068-56-31,stanislavieshchenko@example.com
Єрмоленко,Світлана,Михайлівна,Жіноча,19.05.1989,Няня,хутір Молодогвардійськ,"вулиця Новгородський, буд. 19, Жидачів, 46606",555 55 36,zinchenkoliza@example.org
Фартушняк,Олег,Сергійович,Чоловіча,16.12.2004,Графік,село Копичинці,"вулиця Новаторів, буд. 90 кв. 84, Звенигородка, 34059",+380 66 341-37-90,iustymmoskal@example.org
Гавриш,Семен,Дмитрович,Чоловіча,10.09.1986,Флорист,хутір Овруч,"сквер Красносільська, буд. 6, Мена , 79327",826 21 08,favdieienko@example.net
Артимишин,Болеслав,Дмитрович,Чоловіча,26.06.1997,Бібліотекар,місто Роздільна,"площа Кругова, буд. 160 кв. 99, П'ятихатки, 25273",392 05 62,zorian50@example.com
Макогон,Євген,Володимирович,Чоловіча,22.09.1947,Правник,село Лебедин,"парк Міцкевича, буд. 49, Вознесенськ, 35486",026 047-77-80,vitaliiokhrymovych@example.com
Гаврилів,Захар,Дмитрович,Чоловіча,27.03.1944,Прокурор,місто Камінь-Каширський,"набережна Баркасний, буд. 909, Щастя , 15344",134-32-03,smykoleksandr@example.net
Данильчук,Роксолана,Іванівна,Жіноча,22.06.2004,Шериф,місто Кропивницький,"площа Кавунова, буд. 3 кв. 510, Кобеляки, 27766",+380 95 661-37-05,mariia34@example.com
Шморгун,Аркадій,Миколайович,Чоловіча,16.04.1961,Шериф,селище Апостолове,"проспект Чорноморський 1-й, буд. 211 кв. 505, Новий Розділ, 90547",+380 74 618-18-53,milena05@example.net
Акименко,Ярина,Сергіївна,Жіноча,12.06.1984,Літературознавець,селище Іршава,"шосе Якутська, буд. 9, Мелітополь, 48515",+380 21 359-94-28,vadymshapoval@example.net
Батуринець,Мирон,Миколайович,Чоловіча,09.11.2001,Ді-джей,село Вишгород,"парк Хутірський, буд. 19, Слов'янськ, 43876",+380 50 091-06-85,ivanenkotaras@example.net
Андрійчук,Мирон,Олександрович,Чоловіча,11.02.1958,Музичний редактор,селище Білгород-Дністровський,"набережна Восьмого березня 9-й, буд. 4, Першотравенськ, 24707",+380 58 962 10 15,tsymbalievhen@example.org
Хмара,Вікторія,Петрівна,Жіноча,16.04.1998,Єгер,хутір Теплодар,"площа Карпатська, буд. 427 кв. 8, Дніпро , 62871",984-18-40,ovasylenko@example.com
Цибуленко,Ігнат,Миколайович,Чоловіча,01.12.1996,Громадський діяч,місто Білгород-Дністровський,"провулок Лінія 23-тя, буд. 54, Долина , 94533",+380 89 905-05-94,hryhorii15@example.com
Аронець,Венедикт,Єгорович,Чоловіча,09.05.1960,Композитор,місто Гола Пристань,"площа Дев’ята, буд. 9, Вуглегірськ, 84857",+380 66 550-87-60,gpushkar@example.com
Гайдай,Кирило,Андрійович,Чоловіча,01.06.1972,Електрослюсар,селище Семенівка,"шосе Хвойний, буд. 8 кв. 188, Старобільськ, 25793",+380 42 113-35-94,shakhraililiia@example.com
Масляк,Азар,Андрійович,Чоловіча,16.02.2004,Вчитель,хутір Горлівка,"шосе Кордонна, буд. 76 кв. 6, Очаків, 99698",057 594-93-09,ivangalagan@example.com
Тимчук,Роксолана,Михайлівна,Жіноча,29.02.1972,Літературознавець,селище Кролевець,"проспект Куликовський 2-й, буд. 55 кв. 9, Чортків, 76461",+380 22 549-64-21,frants66@example.org
Деряжний,Станіслав,Михайлович,Чоловіча,02.01.1939,Редактор,село Тростянець,"парк 14-та ст. Великого Фонтану пляж, буд. 286 кв. 591, Соледар, 62931",323-06-87,kisaievych@example.com
Петрик,Азар,Сергійович,Чоловіча,01.02.1946,Письменник,місто Джанкой,"сквер Кісельова Ігоря, буд. 0, Рогатин, 76351",+380 09 434-01-38,khmarapriska@example.com
Рудько,Світлана,Петрівна,Жіноча,25.06.1985,Кінолог,хутір Джанкой,"набережна М’ясоєдовська, буд. 57 кв. 86, Курахове, 03504",598-59-65,onyshchenkoanzhela@example.net
Вернигора,Богодар,Володимирович,Чоловіча,22.01.1973,Астрофізик,місто Миронівка,"площа Лінія 31-ша, буд. 663 кв. 870, Подільськ, 74872",899-12-09,odemianiuk@example.com
Заруба,Орхип,Миколайович,Чоловіча,15.08.1966,Ді-джей,хутір Помічна,"провулок Восьмого березня 2-й, буд. 21 кв. 231, Новоселиця, 64883",+380 39 715-17-28,makar92@example.net
Гаврилишин,Емілія,Олександрівна,Жіноча,03.03.1976,Дипломат,селище Кілія,"проспект Трудова, буд. 3, Первомайськ, 23850",+380 (16) 659-93-01,iakymenkoiosyp@example.com
Ніколюк,Марʼяна,Андріївна,Жіноча,06.05.1956,Режисер,село Ходорів,"провулок Херсонський сквер, буд. 90, Ірміно, 55037",525-64-77,chupalo@example.com
Баранець,Мартин,Єгорович,Чоловіча,06.12.1997,Сценарист,село Бориспіль,"площа Скляний 2-й, буд. 0 кв. 603, Красногорівка, 51440",+380 50 269 57 64,ochervonenko@example.org
Щербак,Марія,Іванівна,Жіноча,10.05.2002,Музичний редактор,місто Боярка,"шосе Кордонна, буд. 4, Первомайський , 88851",+380 29 784-94-23,fhavryliv@example.net
Колісниченко,Лілія,Петрівна,Жіноча,15.12.2005,Візажист,село Жовква,"парк Кар’єрна, буд. 7, Ананьїв, 82222",+380 (17) 349-60-17,gtelychenko@example.com
Єременко,Людмила,Миколаївна,Жіноча,23.07.1950,Математик,село Алупка,"шосе Мариністів, буд. 95 кв. 3, Радивилів, 58378",+380 31 321-99-50,kiarema@example.net
Сіробаба,Тереза,Єгорівна,Жіноча,30.09.2007,Композитор,село Тернопіль,"шосе Оранжерейний, буд. 67 кв. 252, Кролевець, 71678",526 39 93,babychenkoliza@example.org
Дашенко,Едита,Михайлівна,Жіноча,25.10.1995,Зоолог,місто Долинська,"набережна Кримський, буд. 31, Кремінна, 39324",+380 61 828-53-20,datsiukarsen@example.net
Приходько,Валентин,Миколайович,Чоловіча,27.05.1964,Мікробіолог,село Кременчук,"узвіз Водопровідний 3-й, буд. 412, Ланівці, 81538",+380 10 532-39-59,irenailchenko@example.com
Василенко,Сергій,Петрович,Чоловіча,26.05.1971,Доцент,хутір Оріхів,"парк Желябова, буд. 46, Марганець , 24040",+380 (24) 606-33-38,veniiamynchuiko@example.com
Редько,Олена,Миколаївна,Жіноча,13.02.2004,Модель,селище Мала Виска,"набережна Неплія, буд. 4, Герца, 52991",657-70-70,korsunorest@example.net
Саченко,Василина,Петрівна,Жіноча,13.02.1978,Перекладач,село Шпола,"проспект 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 21, Вугледар, 10199",+380 (89) 353-72-22,zsirchenko@example.com
Проценко,Сніжана,Володимирівна,Жіноча,01.04.1991,Маркетолог,місто Білицьке,"узвіз Дігтярна, буд. 60, Великі Мости, 49713",443 87 21,nehodaleonid@example.com
Александренко,Емілія,Володимирівна,Жіноча,20.05.1968,Драматург,місто Суми,"проспект Тепличний 1-й, буд. 3 кв. 04, Здолбунів, 11572",379 61 85,bazavluchenkonadiia@example.org
Давимука,Ігор,Миколайович,Чоловіча,25.05.1940,Ді-джей,село Знам'янка,"сквер Махачкалинська, буд. 55, Хмельницький, 64723",+380 06 838-14-50,dtelizhenko@example.net
Фесенко,Давид,Олександрович,Чоловіча,05.02.1964,Дипломат,місто Суми,"проспект Чорноморський 13-й, буд. 5 кв. 4, Іллінці, 12425",+380 (30) 307-00-44,alinasaienko@example.com
Якименко,Ілля,Володимирович,Чоловіча,24.01.1981,Візажист,хутір Вільнянськ,"площа Надіїі, буд. 3 кв. 8, Джанкой, 45745",041 295 68 28,boryslav79@example.org
Юрчишин,Яків,Олександрович,Чоловіча,28.05.1945,Фрілансер,село Торецьк,"проспект Планетна, буд. 3 кв. 86, Суходільськ, 82061",188 81 59,gokhrymovych@example.org
Башполченко,Мирослав,Сергійович,Чоловіча,17.11.1946,Географ,місто Деражня,"узвіз Академічний, буд. 6 кв. 700, Жидачів, 44665",090 227 16 92,udatsenko@example.org
Єрьоменко,Роман,Миколайович,Чоловіча,02.12.1987,Музичний редактор,хутір Сніжне,"провулок Садова 2-га, буд. 7, Хоростків, 73130",+380 (28) 392-76-07,olesshutko@example.org
Оберемко,Валентина,Дмитрівна,Жіноча,19.06.1975,Кінорежисер,хутір Хмільник,"провулок В’ячеслава Чорновола, буд. 0, Тячів, 58317",+380 13 056-20-74,mykytaoliinyk@example.net
Даниленко,Ольга,Петрівна,Жіноча,28.04.1977,Юрист,селище Тараща,"узвіз Ланжеронівський узвіз, буд. 2, Перещепине, 67294",+380 (69) 548-61-24,rostyslav33@example.org
Забара,Симон,Сергійович,Чоловіча,02.02.1972,Випробувач,селище Любомль,"узвіз Херсонський сквер, буд. 30, Малин, 69264",+380 65 992 88 41,makarenkovolodymyra@example.com
Деркач,Артем,Дмитрович,Чоловіча,21.09.2005,Водій,село Галич,"парк Місячна, буд. 9 кв. 37, Хрестівка, 43613",963 03 85,snizhana08@example.com
Василечко,Марина,Єгорівна,Жіноча,27.05.1945,Бізнесмен,село Березне,"проспект Десятого квітня, буд. 84 кв. 1, Комарно, 90785",015 953 59 97,danylo80@example.com
Худобʼяк,Сніжана,Іванівна,Жіноча,23.07.1993,Антрополог,хутір Підгайці,"парк Васнецова, буд. 785, Богуслав, 70007",065 569-50-91,pushkarzlatoslava@example.com
Макаренко,Марта,Володимирівна,Жіноча,31.01.1938,Каскадер,місто Конотоп,"набережна Лінія 54-та, буд. 24, Володимир-Волинський, 03816",041 973 15 21,dankoiustyna@example.com
Бездітко,Адам,Сергійович,Чоловіча,01.06.1959,Мистецтвознавець,місто Волочиськ,"шосе Утьосова, буд. 369, Охтирка, 13723",+380 54 671-69-61,amvrosii09@example.org
Конопленко,Євген,Миколайович,Чоловіча,01.08.1951,Футболіст,село Залізне,"вулиця Сирітський 2-й, буд. 7 кв. 47, Заводське, 50391",+380 (69) 407-51-25,oryna67@example.com
Оліфіренко,Михайло,Андрійович,Чоловіча,13.12.1992,Скульптор,селище Алушта,"узвіз Марата 1-й, буд. 830 кв. 693, Біла Церква, 86633",112-01-69,vira03@example.com
Яремків,Богуслав,Іванович,Чоловіча,12.05.1974,Співак,місто Барвінкове,"вулиця Удільний, буд. 117, Червоносів, 67312",+380 59 248 45 83,khrystynazhuravel@example.com
Левченко,Арсен,Миколайович,Чоловіча,08.09.1972,Няня,хутір Бориспіль,"шосе Палія Семена, буд. 86, Зимогір'я, 36626",+380 20 592-08-18,dankevychalevtyn@example.com
Ґерета,Анастасія,Єгорівна,Жіноча,29.10.1960,Візажист,місто Слов'янськ,"провулок Травневий 1-й, буд. 8, Болград, 39154",278-52-09,vasylenkoleontii@example.com
Перебийніс,Віра,Олександрівна,Жіноча,23.04.1944,Модель,село Кілія,"набережна Івана Микитенка, буд. 800, Новоград-Волинський, 25996",439-94-44,shabliivalentyna@example.net
Ткаченко,Болеслав,Сергійович,Чоловіча,24.03.1968,Історик,хутір Красногорівка,"парк Локомотивна, буд. 906, Каховка, 71441",+380 41 001 15 01,odarkachornovil@example.com
Бевзенко,Данна,Іванівна,Жіноча,27.09.2003,Географ,селище Бобровиця,"сквер Світла, буд. 35 кв. 553, Гірник , 37772",+380 80 738-24-41,zakharievdokymenko@example.org
Вернидуб,Володимир,Сергійович,Чоловіча,24.08.1952,Фольклорист,хутір Українка ,"площа Матеріальний 1-й, буд. 6, Новомосковськ, 94567",457-77-52,ukorolenko@example.com
Дацюк,Світлана,Сергіївна,Жіноча,04.12.1941,Астрофізик,хутір Соледар,"провулок Агрономічна, буд. 8 кв. 4, Приморськ (Україна), 34312",025 951 01 93,tetiana32@example.net
Оніщук,Остап,Андрійович,Чоловіча,03.11.1974,Золотар,місто Покров,"провулок 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 312 кв. 9, Добропілля, 06757",031 438-99-25,gatroshchenko@example.org
Чумаченко,Артем,Сергійович,Чоловіча,15.11.2004,Льотчик,хутір Славута,"набережна Ярморочна площа, буд. 49, Алмазна, 31097",072 961 95 68,qakymenko@example.net
Атаманчук,Василина,Дмитрівна,Жіноча,25.12.1964,Лікар,місто Новодністровськ,"проспект Академіка Гаркавого, буд. 33 кв. 9, Хрустальний, 91164",+380 84 016-49-20,kovaliukarsen@example.com
Оробець,Ігнат,Олександрович,Чоловіча,01.05.1962,Бухгалтер,місто Угнів,"вулиця Кісельова Ігоря, буд. 461, Куп'янськ, 71729",+380 87 410 88 15,revakhrystyna@example.com
Гунько,Михайло,Єгорович,Чоловіча,23.12.1956,Промисловець,хутір Брянка,"узвіз Дельфін, буд. 8, Алмазна, 95883",+380 33 077 77 83,zabilapanteleimon@example.org
Дергач,Єва,Миколаївна,Жіноча,02.10.1958,Літературознавець,село Вишгород,"парк Кісельова Ігоря, буд. 225, Нововолинськ, 44819",906 89 04,hryhorii09@example.net
Іванченко,Ігнат,Володимирович,Чоловіча,11.08.1959,Ґрунтознавець,місто Горлівка,"провулок Бугаївська, буд. 034 кв. 7, Хоростків, 61444",+380 43 083-16-49,leonidokhrymovych@example.org
Килимник,Опанас,Миколайович,Чоловіча,08.08.1978,Бізнесмен,селище Бобринець,"площа Лазурний 2-й, буд. 0, Шпола, 32530",460 09 82,ielysavetafartushniak@example.org
Товстуха,Ліза,Іванівна,Жіноча,02.01.1982,Петрограф,хутір Білгород-Дністровський,"узвіз Навігаційний, буд. 4 кв. 446, Вилкове, 98159",037 969-90-12,rubetsalbert@example.org
Голобородько,Клавдія,Петрівна,Жіноча,26.09.2003,Електрослюсар,місто Баранівка,"площа Проточний, буд. 2, Гола Пристань, 60226",+380 03 629-20-92,obakumenko@example.net
Вахній,Охрім,Дмитрович,Чоловіча,10.04.1950,Стоматолог,село Нетішин,"узвіз Деревообробний 5-й, буд. 5, Марганець , 34728",029 580-62-76,demianiurchuk@example.net
Шелест,Герман,Михайлович,Чоловіча,08.10.1964,Стоматолог,селище Стебник,"провулок Аеропортівський 2-й, буд. 13 кв. 23, Теплодар, 71137",084 936-26-74,fedirkanivets@example.net
Архипенко,Варвара,Єгорівна,Жіноча,29.12.1996,Мірошник,селище Борзна,"площа Комітетська, буд. 165, Благовіщенське, 84526",+380 50 175-34-02,anzhela65@example.net
Запорожець,Демид,Михайлович,Чоловіча,12.06.1976,Ювелір,село Єнакієве,"парк Лінія 25-та, буд. 75, Горлівка, 37261",016 189 82 03,kzatovkaniuk@example.com
Вишняк,Орина,Іванівна,Жіноча,07.11.1968,Фізик,місто Дрогобич,"проспект Туристський, буд. 9 кв. 483, Шахтарськ, 24856",072 552 11 65,arsen15@example.com
Дараган,Анастасія,Дмитрівна,Жіноча,22.07.1998,Психолог,селище Горлівка,"набережна Василя Кандинського 1-й, буд. 836, Шаргород, 62449",+380 89 438-30-47,iivasiuk@example.org
Туркало,Зорян,Іванович,Чоловіча,07.10.2001,Хореограф,село Камінь-Каширський,"набережна Амундсена, 3-й, буд. 43, Верхньодніпровськ, 27881",055 289-01-47,saienkomyron@example.org
Ляшко,Ірина,Михайлівна,Жіноча,20.04.1964,Круп'є,село Васильків,"сквер Ключовий 2-й, буд. 0, Бурштин , 77056",003 156-22-51,teodor23@example.com
Шаблій,Зиновій,Дмитрович,Чоловіча,09.03.1975,Гірничий інженер,місто Узин,"шосе Тираспольська, буд. 727 кв. 497, Олександрівськ, 52857",093 15 85,aleksiichukmariana@example.net
Сомко,Альберт,Іванович,Чоловіча,01.06.1956,М'ясник,місто Білицьке,"вулиця Друга, буд. 18, Хрестівка, 21708",+380 29 266 54 19,varfolomiiiukhymenko@example.org
Ванченко,Еріка,Сергіївна,Жіноча,03.09.2002,Художник,хутір Гірське,"проспект Центральний аеропорт, буд. 231 кв. 17, Арциз, 29919",+380 58 207-88-26,chumachenkoiarema@example.net
Абрагамовський,Орина,Михайлівна,Жіноча,29.05.1960,Дипломат,місто Середина-Буда,"набережна Олександра Невського 1-й, буд. 778, Барвінкове, 85377",+380 88 135-07-52,deriazhnyizakhar@example.com
Прокопович,Наталія,Іванівна,Жіноча,23.10.1946,М'ясник,село Камінь-Каширський,"набережна 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 410 кв. 2, Бунге , 41094",+380 (64) 931-02-71,levkoaleksiichuk@example.org
Слюсар,Богдан,Єгорович,Чоловіча,22.11.1963,Краєзнавець,село Бахмут,"узвіз Наявний 2-й, буд. 29, Сєвєродонецьк, 42739",978-94-89,svitlana70@example.com
Фастенко,Святослава,Андріївна,Жіноча,01.07.1968,Ріелтор,хутір Дунаївці,"набережна Безіменний, буд. 68, Сулимівка (Слов'янськ), 54828",002 150 34 97,eivanchenko@example.com
Тарасенко,Пріска,Єгорівна,Жіноча,28.08.1948,Промисловець,селище Монастирище,"вулиця Прибережний, буд. 92 кв. 4, Арциз, 29669",005 639-57-17,orkhyplutsenko@example.org
Асаула,Аарон,Олександрович,Чоловіча,07.04.1958,Антрополог,місто Вижниця,"площа Чорноморський, буд. 391 кв. 323, Болград, 37572",+380 06 699-19-00,oleksahavryliuk@example.org
Вдовиченко,Мирон,Миколайович,Чоловіча,17.12.1958,Співак,село Виноградів,"узвіз Нафтовиків, буд. 3 кв. 87, Деражня, 77336",+380 (79) 733-29-60,ievhen83@example.net
Перебийніс,Опанас,Петрович,Чоловіча,09.09.2002,Медик,село Іловайськ,"провулок Леваневського тупик, буд. 6, Бар, 91509",+380 24 585-37-66,avreliishtokalo@example.com
Гоголь,Галина,Олександрівна,Жіноча,14.12.1999,Бухгалтер,місто Чугуїв,"набережна Ф. Пішеніна, буд. 41, Покров, 90802",027 97 59,eiakovenko@example.com
Піддубний,Дарина,Дмитрівна,Жіноча,27.04.1963,Палеонтолог,селище Хмельницький,"шосе Мирна, буд. 84 кв. 9, Гайсин, 37664",003 792-89-69,amaliia08@example.org
Приймак,Олександр,Андрійович,Чоловіча,19.10.1938,Філолог,місто Вільнянськ,"проспект Павла Кравцова, буд. 23 кв. 16, Славута, 26166",+380 01 686-22-41,iarema90@example.com
Лагода,Ліза,Єгорівна,Жіноча,15.06.1994,Філолог,хутір Запоріжжя,"проспект Чорноморський 2-й, буд. 7, Радивилів, 73466",021 429-61-20,shtokaloaaron@example.net
Захаренко,Стефан,Єгорович,Чоловіча,24.11.1980,Зоолог,хутір Бучач,"набережна 2-га Лінія Марії Демченко, буд. 35, Бахмут, 19378",+380 27 811-91-37,barabashdanylo@example.net
Сомко,Соломія,Андріївна,Жіноча,15.05.1993,Інженер,хутір Новоукраїнка,"шосе Ковалевського узвіз, буд. 478, Новий Калинів, 78946",+380 32 818 08 79,kfilipenko@example.org
Левченко,Варфоломій,Миколайович,Чоловіча,15.02.1970,Фермер,місто Березань ,"сквер Новоселів, буд. 37, Зимогір'я, 68835",+380 68 774-68-52,harsenych@example.org
Вахній,Хома,Михайлович,Чоловіча,21.03.1969,Паралегал,село Лутугине,"вулиця 15-та ст. Великого Фонтану пляж, буд. 45, Первомайськ, 11097",097 043 88 79,andriichuktrokhym@example.com
Василечко,Ярема,Миколайович,Чоловіча,08.02.1962,Парфюмер,місто Карлівка,"вулиця Аркаса Миколи, буд. 13 кв. 541, Красноперекопськ, 42240",+380 (53) 490-56-31,dankovasyl@example.org
Андрієвич,Єва,Михайлівна,Жіноча,16.09.1976,Державний службовець,село Луцьк,"площа Інглезі, буд. 54, Дергачі, 79440",+380 24 998-89-32,dziubaruslan@example.com
